Nebula,Certificate-based overlay network,Lighthouse discovery + cert identities,证书组网/灯塔发现,overlay network,2019,"mutual-auth encrypted overlay with simple control","not evidence/governance framework",certificate authority,node enforcement,node state,X.509-like cert identity,host and group names,lighthouse-discovered endpoints,underlay path with punch-through,n/a,operators,PKI trust,certificate policy,"lighthouse failure impacts discovery",metadata to lighthouse,CA compromise,medium,medium,good,manual rollback,daemon,IMPLEMENTED,yes,MIT,yes,yes,"Blueshoes trust establishment neighbor",partial,yes,yes,yes,yes,no,no,"Good for sovereign deployment experiments",https://github.com/slackhq/nebula,medium,none found
mDNS/DNS-SD,Local service discovery,DNS multicast service records,组播DNS/服务发现,network discovery,2013,"zero-config local service discovery","not global trust/identity",local network participants,responders and queriers,local cache,hostname/service instance,SRV/TXT naming,link-local multicast,link-local query response,n/a,hosts/services,LAN trust assumptions,minimal auth,"cache staleness and spoofing",broadcast leakage,spoofing on LAN,medium,medium,observable,n/a,protocol,IMPLEMENTED,yes,IETF RFC,yes,yes,"Blueshoes local discovery primitive",yes,yes,yes,no,yes,no,no,"Mandatory neighbor for rendezvous/service discovery",RFC6762 high,none found
ICE/STUN/TURN,NAT traversal and rendezvous,interactive connectivity establishment,NAT穿透/会合,realtime networking,2022,"endpoint reachability across NATs","not trust/governance",endpoint and relay operators,ICE agent,candidate state,endpoint credential identity,candidate naming,server reflexive/relay locators,candidate pair selection,n/a,endpoints,short-term credentials,consent checks,"fallback to relay",relay metadata exposure,active interference and blocking,medium,medium,strong,partial,protocol+servers,IMPLEMENTED,yes,RFC,yes,yes,"Blueshoes reachability/rendezvous neighbor",yes,yes,yes,no,yes,no,no,"Core primitive for global reachability",RFC8445 high,none found
MPTCP + QUIC migration + MP-QUIC,Path mobility and multipath transport,multipath subflows/connection IDs,多路径传输/连接迁移,transport protocols,2013,"session continuity under path changes and multipath","not policy reasoning",endpoints,endpoint transport stack,transport state,endpoint identity at transport,connection ID naming,dynamic endpoint locators,path scheduler,n/a,endpoint agent,TLS+transport trust,endpoint policy,"subflow/path failure resilience",path metadata side channels,on-path manipulation,medium,medium,strong,partial,kernel/userspace/protocol,IMPLEMENTED,yes,RFC+impl,yes,yes,"Blueshoes multipath/failover primitive",partial,yes,yes,yes,yes,no,no,"Transport-layer equivalent of bounded path adaptation",RFC8684/RFC9000 medium,none found
MASQUE CONNECT-UDP/CONNECT-IP,HTTP tunnel substrate over QUIC,proxying datagrams and IP,基于HTTP3的隧道代理,networking protocol,2024,"encapsulated UDP/IP over QUIC for constrained traversal","not endpoint trust model alone",proxy operators,client+proxy,proxy+client state,TLS cert and auth,URL/authority naming,proxy endpoints,path via HTTPS infrastructure,n/a,client and proxy,PKI/web trust,HTTP auth and policy,"proxy failure fallback",hides traffic class partially,censorship/proxy abuse tradeoff,medium,medium,good at proxy,partial,protocol+service,IMPLEMENTED,yes,RFC,emerging,deploying,"Blueshoes tunnel/proxy palette",partial,yes,yes,yes,yes,no,no,"High relevance for adaptive network mediation",RFC9298/RFC9484 medium,none found
BGP + RPKI/BGPsec,Inter-domain route control and validation,path vector + origin validation,域间路由/资源公钥基础设施,interdomain routing,2012,"global route propagation and origin validation","cannot guarantee full path authenticity without wider adoption",AS operators,BGP decision process,RIB/FIB,AS and prefix identity,prefix naming,next-hop locators,path-vector selection,n/a,network operators,RPKI trust anchors,policy filters,"route leaks/hijacks persist",routing metadata public,hijack/leak adversary,highly deterministic per policy,medium,strong,limited rollback by policy,protocol+daemon,IMPLEMENTED,yes,mixed,yes,global,"MBSD route discovery and trust primitives",no,yes,yes,yes,yes,no,no,"Mandatory baseline comparator",RFC6811/RFC8205 medium,none found
OpenBSD PF/anchors/tables/route-to/reply-to/divert,Network surgery alphabet primitives,filter/nat/rdr/route-to/anchors,包过滤/策略路由/流量转发,os packet processing,2001,"classify, steer, transform, failover with deterministic rules","not application semantics arbitration",host operator,pf ruleset engine,kernel state table,interface/host identities,table and label naming,kernel route tables,rule-defined forwarding,n/a,operator+daemon,host trust boundary,pf rule authorization,"state table timeout/failover",packet metadata exposure,rule bypass/misconfig,high,medium,strong,with rollback if snapshotted,kernel+daemon,IMPLEMENTED,yes,BSD,yes,yes,"MBSD OpenBSD manipulation alphabet core",yes,yes,yes,no,yes,no,no,"Native substrate rather than external import",https://www.openbsd.org/faq/pf/,high,none found
Linux eBPF/XDP + nftables + policy routing,Programmable packet path surgery,BPF programs/hooks/sets/chains,可编程数据面/eBPF/XDP,os packet processing,2018,"fine-grained classify/steer/transform at high speed","does not provide governance model",kernel+operator,kernel verifier + control plane,kernel maps,stateful IDs and marks,map/program naming,routing tables and marks,policy route and program path,n/a,operator+agent,kernel trust,privileged capability control,"program load failure isolation",telemetry rich but sensitive,kernel exploit/misconfig,high in fixed binaries,medium,strong,possible with staged rollout,kernel+tooling,IMPLEMENTED,yes,GPL,yes,yes,"MBSD portability comparison target",partial,yes,yes,yes,yes,no,no,"Important contrast set for native vs wrap vs unnecessary",kernel docs medium,none found
VPP/DPDK/P4,User-space and programmable forwarding pipelines,graph pipeline/packet processing language,可编程交换与高速转发,data plane engineering,2014,"high-performance deterministic packet processing","not higher-level policy truth semantics",operator/control plane,pipeline compiler/runtime,data-plane tables,varies by integration,pipeline object naming,pipeline metadata,pipeline path,n/a,operator+controller,platform trust,controller policy,"pipeline crash/fallback behavior varies",telemetry optional,controller or code compromise,high once compiled,medium,strong with tooling,depends deployment,user-space/switch,IMPLEMENTED,yes,mixed,yes,yes,"MBSD benchmark-only or extractable primitives",no,yes,yes,yes,yes,no,no,"Helps classify kernel-work necessity",project docs medium,none found
Digital Twin + deterministic simulation workflows,Replay-before-mutate safety validation,shadow mode/canary/what-if twins,数字孪生/仿真先行,systems engineering,2015,"pre-mutation validation and rollback rehearsal","not direct runtime authority unless coupled",ops team,control process,twin model+logs,asset identity,asset/twin naming,topology model,scenario path,n-dimensional state models,human+automation,model trust + evidence,change authorization gates,"unsafe divergence if model stale",sensitive telemetry risk,model poisoning/staleness,medium,high if deterministic,strong,yes by design,service+process,IMPLEMENTED,mixed,mixed,yes,yes,"Omnia read-only→replay→bounded-mutation motif",partial,yes,yes,yes,yes,no,no,"High-value cross-cell bridge (Omnia+HME+MBSD)",industry practice medium,none found
WorldEngine-like deterministic ECS/simulation kernels,Typed state-transition-to-pose contracts,ECS/state machine/deterministic tick,世界状态机/确定性帧,simulation architecture,2005,"deterministic frame progression and replay","does not itself prove semantic truth of sensors",engine runtime,engine state machine,world state store,entity identity,entity/component naming,spatial coordinates,event/system update paths,explicit state graph,agent systems,runtime trust boundary,authoritative tick contract,"invalid input→stale/error states",depends on telemetry policy,input spoofing,high if fixed-step,high,strong,supports rollback/replay,engine library/runtime,IMPLEMENTED,yes,mixed,yes,yes,"HME world-state and replay primitives",partial,yes,yes,yes,yes,no,no,"Strong semantic ancestor for HME decomposition",engine literature medium,none found
AAMAS/argumentation frameworks,Divergence-handling and belief revision,Dung argumentation/defeasible reasoning,论证框架/信念修正,multi-agent reasoning,1995,"formal handling of conflicting claims and admissibility","not low-level network mutation",reasoning framework owner,argument evaluator,argument graph,claim identity,argument labels,n/a,n/a,belief state graph,multi-agent,logical trust assumptions,rule-based acceptability,"inconclusive sets remain undecided",data source confidentiality external,strategic adversarial argument injection,high for formal semantics,high,inspectable proofs,n/a,formalism+tools,SPECIFIED,yes,mixed,active,research+some deployment,"Tribunal disagreement semantics",no,yes,yes,yes,yes,no,no,"Useful for majority-not-enough formalization",AAMAS corpus medium,none found
